=== lm_v3_chunked (2-block, chunked sampling from full optim.rail) ===
corpus chars=10901  vocab size=94
corpus encoded to arr (10901 ids)
seq_len=512  max offset=10388
[tgl_init] dylib=$HOME/projects/rail/tools/metal/libtensor_gpu.dylib src_path=$HOME/projects/rail/tools/metal/tensor_gpu.metal
[tgl_init] OK — 38 functions
initial loss (on one sampled chunk)=8.62960223571262  uniform=4.54329478227
training 10000 steps...
step 0  lr=0  loss=8.01492801962747
step 1  lr=0.0002  loss=8.70287359700098
step 2  lr=0.0004  loss=8.69565839041839
step 3  lr=0.0006  loss=8.17877691691753
step 4  lr=0.0008  loss=7.50182100065378
step 5  lr=0.001  loss=7.3178499649932
step 6  lr=0.0012  loss=7.22023192956236
step 7  lr=0.0014  loss=7.17640568896567
step 8  lr=0.0016  loss=6.5393100313016
step 9  lr=0.0018  loss=6.52758760452158
step 10  lr=0.002  loss=6.10615870578884
step 11  lr=0.0022  loss=6.2584806543153
step 12  lr=0.0024  loss=5.56770243579913
step 13  lr=0.0026  loss=5.03983353442284
step 14  lr=0.0028  loss=5.2734139070022
step 15  lr=0.003  loss=5.19867135991776
step 16  lr=0.0032  loss=4.8260729517873
step 17  lr=0.0034  loss=4.60484261846166
step 18  lr=0.0036  loss=4.62396374559058
step 19  lr=0.0038  loss=5.20690009252667
step 20  lr=0.004  loss=4.71961593084392
step 21  lr=0.0042  loss=4.29873885488811
step 22  lr=0.0044  loss=4.93864663537274
step 23  lr=0.0046  loss=4.41358133506357
step 24  lr=0.0048  loss=4.55234796668418
step 25  lr=0.005  loss=4.82943231328186
step 26  lr=0.0052  loss=4.2995914481877
step 27  lr=0.0054  loss=4.4463796174832
step 28  lr=0.0056  loss=3.80363708195208
step 29  lr=0.0058  loss=4.12805666677411
step 30  lr=0.006  loss=4.07981421625553
step 31  lr=0.0062  loss=3.95253990929615
step 32  lr=0.0064  loss=3.8989119555257
step 33  lr=0.0066  loss=4.21186122950032
step 34  lr=0.0068  loss=3.82365013897435
step 35  lr=0.007  loss=3.71884458106271
step 36  lr=0.0072  loss=3.66823875027108
step 37  lr=0.0074  loss=3.75856843552482
step 38  lr=0.0076  loss=4.31025833195919
step 39  lr=0.0078  loss=3.85007824920974
step 40  lr=0.008  loss=4.21999051084336
step 41  lr=0.0082  loss=3.3874274956605
step 42  lr=0.0084  loss=3.48747258200201
step 43  lr=0.0086  loss=3.69984304860648
step 44  lr=0.0088  loss=3.42065543947768
step 45  lr=0.009  loss=3.35599469136758
step 46  lr=0.0092  loss=3.43056078875207
step 47  lr=0.0094  loss=3.31533703635261
step 48  lr=0.0096  loss=3.40516136561334
step 49  lr=0.0098  loss=3.36640470772197
step 50  lr=0.01  loss=3.23451967047507
step 51  lr=0.0102  loss=3.56827899861669
step 52  lr=0.0104  loss=3.14824077217887
step 53  lr=0.0106  loss=3.10071198076828
step 54  lr=0.0108  loss=3.31331589649907
step 55  lr=0.011  loss=3.41076545441396
step 56  lr=0.0112  loss=3.09455357143849
step 57  lr=0.0114  loss=3.05586909490864
step 58  lr=0.0116  loss=3.16888481826607
step 59  lr=0.0118  loss=3.14174131408606
step 60  lr=0.012  loss=3.03983963882125
step 61  lr=0.0122  loss=3.3648011977301
step 62  lr=0.0124  loss=3.4060743246991
step 63  lr=0.0126  loss=3.8833281106721
step 64  lr=0.0128  loss=3.04640131111837
step 65  lr=0.013  loss=3.47987673722594
step 66  lr=0.0132  loss=3.2575359831886
step 67  lr=0.0134  loss=2.99991750235425
step 68  lr=0.0136  loss=3.15692202248633
step 69  lr=0.0138  loss=2.92525307048486
step 70  lr=0.014  loss=3.24326350996595
step 71  lr=0.0142  loss=2.85922412776063
step 72  lr=0.0144  loss=2.87281151002936
step 73  lr=0.0146  loss=3.6184623556066
step 74  lr=0.0148  loss=2.85043341582031
step 75  lr=0.015  loss=3.02058620657207
step 76  lr=0.0152  loss=3.1226073955494
step 77  lr=0.0154  loss=3.31478158309042
step 78  lr=0.0156  loss=3.29045815122603
step 79  lr=0.0158  loss=3.68899179581242
step 80  lr=0.016  loss=2.82441529155149
step 81  lr=0.0162  loss=3.22283792549332
step 82  lr=0.0164  loss=3.25866387698741
step 83  lr=0.0166  loss=3.53056406679459
step 84  lr=0.0168  loss=3.06126795677813
step 85  lr=0.017  loss=3.33315886247396
step 86  lr=0.0172  loss=3.19008192978734
step 87  lr=0.0174  loss=3.32282375334678
step 88  lr=0.0176  loss=2.85199752768224
step 89  lr=0.0178  loss=3.01590763982243
step 90  lr=0.018  loss=2.83644011559504
step 91  lr=0.0182  loss=2.8547431992406
step 92  lr=0.0184  loss=3.53395901381778
step 93  lr=0.0186  loss=2.89619658023685
step 94  lr=0.0188  loss=3.17400362909583
step 95  lr=0.019  loss=2.78486775853756
step 96  lr=0.0192  loss=3.24229739707201
step 97  lr=0.0194  loss=2.99561106318249
step 98  lr=0.0196  loss=2.57220949517227
step 99  lr=0.0198  loss=2.65741928057278
step 100  lr=0.02  loss=3.37462608118964
step 101  lr=0.0199999994965001  loss=3.23557292958186
step 102  lr=0.0199999979860006  loss=2.48297604016263
step 103  lr=0.0199999954685015  loss=2.6927951562224
step 104  lr=0.0199999919440032  loss=2.6207589695909
step 105  lr=0.019999987412506  loss=2.63356764597091
step 106  lr=0.0199999818740102  loss=3.00049272653519
step 107  lr=0.0199999753285166  loss=3.47792266150383
step 108  lr=0.0199999677760258  loss=2.55576742737758
step 109  lr=0.0199999592165385  loss=2.67022286725878
step 110  lr=0.0199999496500555  loss=2.07810651135486
step 111  lr=0.0199999390765779  loss=2.62287727213917
step 112  lr=0.0199999274961067  loss=2.6618599690523
step 113  lr=0.0199999149086431  loss=2.51501617020395
step 114  lr=0.0199999013141883  loss=3.00348583667429
step 115  lr=0.0199998867127437  loss=2.76788854412512
step 116  lr=0.0199998711043108  loss=2.48100483149795
step 117  lr=0.0199998544888912  loss=3.40771007450456
step 118  lr=0.0199998368664865  loss=2.45123121804677
step 119  lr=0.0199998182370985  loss=3.60159020597358
step 120  lr=0.0199997986007291  loss=2.44861400795543
step 121  lr=0.0199997779573802  loss=3.54560487434641
step 122  lr=0.0199997563070539  loss=3.32174469470383
step 123  lr=0.0199997336497525  loss=2.70648762144612
step 124  lr=0.0199997099854782  loss=3.29757945352785
step 125  lr=0.0199996853142333  loss=2.65476990763726
step 126  lr=0.0199996596360204  loss=2.94789250684025
step 127  lr=0.0199996329508421  loss=3.0703420718439
step 128  lr=0.019999605258701  loss=3.46377646442536
step 129  lr=0.0199995765595999  loss=2.45264396293379
step 130  lr=0.0199995468535417  loss=2.74149862110081
step 131  lr=0.0199995161405295  loss=3.20100364911647
step 132  lr=0.0199994844205662  loss=2.56767359855753
step 133  lr=0.0199994516936551  loss=2.44618767168096
step 134  lr=0.0199994179597995  loss=2.65968759860021
step 135  lr=0.0199993832190028  loss=2.3568746639247
step 136  lr=0.0199993474712685  loss=3.3524634437268
step 137  lr=0.0199993107166002  loss=3.46863862256605
step 138  lr=0.0199992729550015  loss=3.32434345985314
step 139  lr=0.0199992341864764  loss=2.49685085729035
step 140  lr=0.0199991944110286  loss=2.93384241288711
step 141  lr=0.0199991536286622  loss=3.3965160437414
step 142  lr=0.0199991118393813  loss=3.07454528813555
step 143  lr=0.0199990690431902  loss=3.236122873715
step 144  lr=0.019999025240093  loss=2.37371671444426
step 145  lr=0.0199989804300943  loss=3.04355602339292
step 146  lr=0.0199989346131986  loss=2.31269936102375
step 147  lr=0.0199988877894104  loss=3.29119657765233
step 148  lr=0.0199988399587344  loss=2.74643955066555
step 149  lr=0.0199987911211756  loss=2.73085559824646
step 150  lr=0.0199987412767388  loss=2.4028007725358
step 151  lr=0.0199986904254289  loss=2.61167875559055
step 152  lr=0.0199986385672513  loss=2.16020678348576
step 153  lr=0.019998585702211  loss=2.57299859556076
step 154  lr=0.0199985318303134  loss=2.20347461606416
step 155  lr=0.0199984769515639  loss=3.48952051312124
step 156  lr=0.0199984210659681  loss=3.23568537939807
step 157  lr=0.0199983641735315  loss=2.72595014303023
step 158  lr=0.01999830627426  loss=2.37102221666909
step 159  lr=0.0199982473681592  loss=2.09350155450554
step 160  lr=0.0199981874552353  loss=2.23756743381736
step 161  lr=0.0199981265354941  loss=3.25592947315382
step 162  lr=0.0199980646089419  loss=2.05178010881141
step 163  lr=0.0199980016755848  loss=3.28316064218978
step 164  lr=0.0199979377354292  loss=2.04297668774195
step 165  lr=0.0199978727884816  loss=2.28020976552923
step 166  lr=0.0199978068347485  loss=3.53832695590678
step 167  lr=0.0199977398742364  loss=3.22237583954493
step 168  lr=0.0199976719069523  loss=2.37134381885406
step 169  lr=0.0199976029329029  loss=3.06293107199775
step 170  lr=0.0199975329520951  loss=2.52163288136057
step 171  lr=0.019997461964536  loss=3.30502913755781
step 172  lr=0.0199973899702328  loss=3.5718656194317
step 173  lr=0.0199973169691927  loss=3.22734848593018
step 174  lr=0.019997242961423  loss=3.40404518851639
step 175  lr=0.0199971679469313  loss=3.40131631683061
step 176  lr=0.019997091925725  loss=2.2081166141266
step 177  lr=0.0199970148978118  loss=2.32690848595293
step 178  lr=0.0199969368631995  loss=3.18120820161875
step 179  lr=0.019996857821896  loss=3.34167140116112
step 180  lr=0.0199967777739091  loss=3.20776414633276
step 181  lr=0.019996696719247  loss=2.28722754112495
step 182  lr=0.0199966146579178  loss=1.84408089235355
step 183  lr=0.0199965315899297  loss=3.29590991845077
step 184  lr=0.0199964475152912  loss=3.05087160338313
step 185  lr=0.0199963624340108  loss=2.42149607624114
step 186  lr=0.0199962763460968  loss=2.17269968186297
step 187  lr=0.0199961892515582  loss=3.34116120989367
step 188  lr=0.0199961011504035  loss=2.16517007713092
step 189  lr=0.0199960120426418  loss=3.18748686253741
step 190  lr=0.0199959219282819  loss=2.25525936283397
step 191  lr=0.0199958308073329  loss=2.27154014106736
step 192  lr=0.0199957386798041  loss=3.18691326544459
step 193  lr=0.0199956455457046  loss=2.46339596675464
step 194  lr=0.0199955514050439  loss=2.1732067176219
step 195  lr=0.0199954562578315  loss=2.19106213213383
step 196  lr=0.0199953601040769  loss=2.24070880103162
step 197  lr=0.0199952629437898  loss=2.07336322759309
step 198  lr=0.0199951647769799  loss=2.07922070320387
step 199  lr=0.0199950656036573  loss=1.9853215873685
step 200  lr=0.0199949654238319  loss=2.23523941318165
step 201  lr=0.0199948642375136  loss=3.33699940880201
step 202  lr=0.0199947620447129  loss=2.12749593739891
step 203  lr=0.0199946588454399  loss=2.11254255640827
step 204  lr=0.0199945546397049  loss=2.16735548914027
step 205  lr=0.0199944494275187  loss=2.64643638819715
step 206  lr=0.0199943432088916  loss=3.07118164202688
step 207  lr=0.0199942359838345  loss=2.28397494320882
step 208  lr=0.019994127752358  loss=3.31201548183492
step 209  lr=0.0199940185144732  loss=1.95859096144465
step 210  lr=0.019993908270191  loss=2.01035664383234
step 211  lr=0.0199937970195224  loss=3.1271652403536
step 212  lr=0.0199936847624788  loss=2.15440896840291
step 213  lr=0.0199935714990715  loss=3.01894666818742
step 214  lr=0.0199934572293117  loss=2.14905970449033
step 215  lr=0.0199933419532111  loss=3.2281137124725
step 216  lr=0.0199932256707812  loss=1.59738366791497
step 217  lr=0.0199931083820338  loss=2.00792609469589
step 218  lr=0.0199929900869806  loss=1.96388394211957
step 219  lr=0.0199928707856336  loss=2.013950961579
step 220  lr=0.0199927504780047  loss=2.23009758415828
step 221  lr=0.0199926291641062  loss=3.00841182382623
step 222  lr=0.0199925068439502  loss=3.2112225534797
step 223  lr=0.019992383517549  loss=2.9214382259324
step 224  lr=0.0199922591849151  loss=3.07049874416131
step 225  lr=0.019992133846061  loss=2.97512019061271
step 226  lr=0.0199920075009992  loss=2.49109462688788
step 227  lr=0.0199918801497426  loss=2.13336479234914
step 228  lr=0.0199917517923039  loss=3.45501537927991
step 229  lr=0.0199916224286961  loss=3.12227340974555
step 230  lr=0.0199914920589321  loss=3.44239275482094
step 231  lr=0.0199913606830252  loss=3.41117597462851
step 232  lr=0.0199912283009886  loss=2.6186348156295
step 233  lr=0.0199910949128355  loss=2.18844566793372
step 234  lr=0.0199909605185795  loss=3.33725317881223
step 235  lr=0.019990825118234  loss=2.91505793011933
step 236  lr=0.0199906887118126  loss=3.25116150502784
step 237  lr=0.0199905512993292  loss=3.1823081360536
step 238  lr=0.0199904128807976  loss=3.05717118808477
step 239  lr=0.0199902734562316  loss=2.44719858231795
step 240  lr=0.0199901330256454  loss=2.68881109897186
step 241  lr=0.0199899915890531  loss=3.01574431038174
step 242  lr=0.0199898491464689  loss=3.04840019654704
step 243  lr=0.0199897056979071  loss=2.11762201551391
step 244  lr=0.0199895612433823  loss=3.0026508586721
step 245  lr=0.0199894157829089  loss=2.2016319114303
step 246  lr=0.0199892693165017  loss=3.15074760161912
step 247  lr=0.0199891218441752  loss=3.00770683651685
step 248  lr=0.0199889733659445  loss=2.14523599885653
step 249  lr=0.0199888238818244  loss=3.39906982565086
step 250  lr=0.0199886733918301  loss=2.4463984134293
step 251  lr=0.0199885218959766  loss=2.67354316508256
step 252  lr=0.0199883693942792  loss=3.03876990550898
step 253  lr=0.0199882158867533  loss=3.13272797231917
step 254  lr=0.0199880613734143  loss=2.13835291722875
step 255  lr=0.0199879058542779  loss=3.01817142525982
step 256  lr=0.0199877493293595  loss=2.14988884588401
step 257  lr=0.0199875917986751  loss=2.62553728129937
step 258  lr=0.0199874332622405  loss=1.5106038682266
step 259  lr=0.0199872737200716  loss=3.05505970409694
step 260  lr=0.0199871131721846  loss=2.25136044721039
step 261  lr=0.0199869516185955  loss=2.09861345357941
step 262  lr=0.0199867890593206  loss=3.26173903842905
step 263  lr=0.0199866254943764  loss=3.05525385273309
step 264  lr=0.0199864609237792  loss=3.19366012964727
step 265  lr=0.0199862953475457  loss=2.1628306377853
step 266  lr=0.0199861287656926  loss=3.07401801750876
step 267  lr=0.0199859611782365  loss=2.44029749990343
step 268  lr=0.0199857925851945  loss=3.27855306494939
step 269  lr=0.0199856229865833  loss=1.98883654512371
step 270  lr=0.0199854523824203  loss=2.19120496449516
step 271  lr=0.0199852807727224  loss=2.76267089558222
step 272  lr=0.0199851081575071  loss=3.01203284766264
step 273  lr=0.0199849345367916  loss=3.03242511571865
step 274  lr=0.0199847599105935  loss=2.38682724786367
step 275  lr=0.0199845842789303  loss=3.29020773416053
step 276  lr=0.0199844076418198  loss=2.96228458545414
step 277  lr=0.0199842299992797  loss=1.95730966858459
step 278  lr=0.0199840513513279  loss=2.01173533017555
step 279  lr=0.0199838716979824  loss=2.81283935452845
step 280  lr=0.0199836910392614  loss=2.99897000201453
step 281  lr=0.0199835093751829  loss=1.96493525401921
step 282  lr=0.0199833267057652  loss=3.289268004887
step 283  lr=0.0199831430310269  loss=3.22781596515647
step 284  lr=0.0199829583509863  loss=3.07524354283387
step 285  lr=0.0199827726656621  loss=3.06031150832379
step 286  lr=0.0199825859750729  loss=3.01635489709449
step 287  lr=0.0199823982792377  loss=2.08913943084358
step 288  lr=0.0199822095781751  loss=3.01369683530928
step 289  lr=0.0199820198719044  loss=2.92403749999437
step 290  lr=0.0199818291604445  loss=2.00771952658099
step 291  lr=0.0199816374438147  loss=2.62870933698567
step 292  lr=0.0199814447220343  loss=2.09165589853563
step 293  lr=0.0199812509951227  loss=2.39090582131034
step 294  lr=0.0199810562630993  loss=2.11364583487202
step 295  lr=0.0199808605259839  loss=2.14865848147337
step 296  lr=0.0199806637837961  loss=2.94320903480374
step 297  lr=0.0199804660365557  loss=3.16555927921311
step 298  lr=0.0199802672842827  loss=2.74213416069411
step 299  lr=0.019980067526997  loss=2.77294749479641
